#,Title,Topic,Acceptance,Difficulty,Top Interviews,Top Liked,Solved
104,Maximum Depth of Binary Tree,Tree,68.00%,Easy,O,O,O
136,Single Number,"Hash Table,Bit Manipulation",66.50%,Easy,O,O,O
46,Permutations,Backtracking,66.50%,Medium,O,O,O
94,Binary Tree Inorder Traversal,Tree,65.80%,Medium,O,O,
22,Generate Parentheses,"String,Backtracking",65.20%,Medium,O,O,O
206,Reverse Linked List,Linked List,65.20%,Easy,O,O,O
78,Subsets,"Array,Backtracking,Bit Manipulation",65.00%,Medium,O,O,
230,Kth Smallest Element in a BST,"Tree,Binary Search",62.50%,Medium,O,O,
347,Top K Frequent Elements,"Hash Table,Heap",62.40%,Medium,O,O,
238,Product of Array Except Self,Array,61.40%,Medium,O,O,
169,Majority Element,"Array,Divide and Conquer,Bit Manipulation",60.00%,Easy,O,O,O
48,Rotate Image,Array,59.80%,Medium,O,O,
49,Group Anagrams,"Hash Table,String",59.20%,Medium,O,O,
283,Move Zeroes,"Array,Two pointers",58.50%,Easy,O,O,O
215,Kth Largest Element in an Array,"Divide and Conquer,Heap",58.30%,Medium,O,O,
287,Find the Duplicate Number,"Array,Two pointers,Binary Search",57.50%,Medium,O,O,
102,Binary Tree Level Order Traversal,"Tree,BFS",56.50%,Medium,O,O,
21,Merge Two Sorted Lists,"Linked List,Recursion",56.00%,Easy,O,O,O
62,Unique Paths,"Array,DP",55.90%,Medium,O,O,
11,Container With Most Water,"Array,Two Pointers",52.70%,Medium,O,O,
208,Implement Trie (Prefix Tree),"Design,Trie",51.90%,Medium,O,O,
105,Construct Binary Tree from Preorder and Inorder Traversal,"Array,Tree,DFS",51.70%,Medium,O,O,
121,Best Time to Buy and Sell Stock,"Array,DP",51.50%,Easy,O,O,O
42,Trapping Rain Water,"Array,Two Pointer,DP,Stack",51.10%,Hard,O,O,
297,Serialize and Deserialize Binary Tree,"Tree,Design",49.70%,Hard,O,O,
75,Sort Colors,"Array,Two Pointer,Sort",49.30%,Medium,O,O,
17,Letter Combinations of a Phone Number,"String,Backtracking,DFS,Recursion",49.00%,Medium,O,O,
200,Number of Islands,"DFS,BFS,Union Find",49.00%,Medium,O,O,
279,Perfect Squares,"Math,DP,BFS",48.90%,Medium,O,O,
70,Climbing Stairs,DP,48.60%,Easy,O,O,O
236,Lowest Common Ancestor of a Binary Tree,Tree,48.60%,Medium,O,O,
101,Symmetric Tree,"Tree,DFS,BFS",48.00%,Easy,O,O,O
53,Maximum Subarray,"Array,Divide and Conquer,DP",47.70%,Easy,O,O,O
295,Find Median from Data Stream,"Heap,Design",46.80%,Hard,O,O,
253,Meeting Rooms II,[Locked],46.80%,Medium,O,O,
1,Two Sum,"Array,Hash Table",46.40%,Easy,O,O,O
155,Min Stack,"Stack,Design",46.30%,Easy,O,O,O
128,Longest Consecutive Sequence,"Array,Union Find",46.20%,Hard,O,O,
148,Sort List,"Linked List,Sort",46.20%,Medium,O,O,
239,Sliding Window Maximum,"Heap,Sliding Window,Dequeue",44.60%,Hard,O,O,
240,Search a 2D Matrix II,"Binary Search,Divide and Conquer",44.50%,Medium,O,O,
207,Course Schedule,"DFS,BFS,Graph,Topological Sort",44.30%,Medium,O,O,
300,Longest Increasing Subsequence,"Binary Search,DP",44.00%,Medium,O,O,
160,Intersection of Two Linked Lists,Linked List,43.10%,Easy,O,O,O
198,House Robber,DP,42.80%,Medium,O,O,
141,Linked List Cycle,"Linked List,Two Pointers",42.80%,Easy,O,O,O
23,Merge k Sorted Lists,"Linked List,Divide and Conquere,Heap",42.60%,Hard,O,O,
139,Word Break,DP,41.60%,Medium,O,O,
56,Merge Intervals,"Array,Sort",41.00%,Medium,O,O,
138,Copy List with Random Pointer,"Hash Table,Linked List",40.70%,Medium,O,O,
234,Palindrome Linked List,"Linked List,Two Pointers",40.40%,Easy,O,O,O
20,Valid Parentheses,"String,Stack",39.80%,Easy,O,O,O
34,Find First and Last Position of Element in Sorted Array,"Array,Binary Search",37.30%,Medium,O,O,
322,Coin Change,DP,37.20%,Medium,O,O,
84,Largest Rectangle in Histogram,"Array,Stack",37.10%,Hard,O,O,
79,Word Search,"Array,Backtracking",36.80%,Medium,O,O,
76,Minimum Window Substring,"Hash Table,Two Pointers,String,Sliding Window",35.90%,Hard,O,O,
33,Search in Rotated Sorted Array,"Array,Binary Search",35.80%,Medium,O,O,
19,Remove Nth Node From End of List,"Linked List,Two Pointers",35.70%,Medium,O,O,
146,LRU Cache,Design,35.70%,Medium,O,O,
124,Binary Tree Maximum Path Sum,"Tree,DFS,Recursion",35.40%,Hard,O,O,
2,Add Two Numbers,"Linked List,Math,Recursion",35.40%,Medium,O,O,
55,Jump Game,"Array,Greedy",35.10%,Medium,O,O,
41,First Missing Positive,Array,33.60%,Hard,O,O,
152,Maximum Product Subarray,"Array,DP",32.70%,Medium,O,O,
3,Longest Substring Without Repeating Characters,"Hash Table,Two Pointers,String,Sliding Window",31.40%,Medium,O,O,
4,Median of Two Sorted Arrays,"Array,Binary Search,Divide and Conquer",31.00%,Hard,O,O,
5,Longest Palindromic Substring,"String,DP",30.50%,Medium,O,O,
98,Validate Binary Search Tree,"Tree,DFS,Recursion",28.70%,Medium,O,O,
15,3Sum,"Array,Two Pointers",28.00%,Medium,O,O,
10,Regular Expression Matching,"String,DP,Backtracking",27.30%,Hard,O,O,
763,Partition Labels,"Two Pointers,Greedy",78.00%,Medium,,O,O
617,Merge Two Binary Trees,Tree,75.30%,Easy,,O,O
338,Counting Bits,"DP,Bit Manipulation",70.40%,Medium,,O,O
406,Queue Reconstruction by Height,Greedy,68.30%,Medium,,O,O
226,Invert Binary Tree,Tree,66.90%,Easy,,O,O
739,Daily Temperatures,"Hash Table,Stack",64.50%,Medium,,O,
647,Palindromic Substrings,"String,DP",61.80%,Medium,,O,
39,Combination Sum,"Array,Backtracking",59.20%,Medium,,O,
199,Binary Tree Right Side View,"Tree,BFS,DFS,Recursion,Queue",56.30%,Medium,,O,
64,Minimum Path Sum,"Array,DP",56.10%,Medium,,O,
448,Find All Numbers Disappeared in an Array,Array,56.10%,Easy,,O,O
96,Unique Binary Search Trees,"DP,Tree",54.40%,Medium,,O,
394,Decode String,"Stack,DFS",52.60%,Medium,,O,
114,Flatten Binary Tree to Linked List,"Tree,DFS",51.80%,Medium,,O,
337,House Robber III,"DP,Tree,DFS",51.80%,Medium,,O,
621,Task Scheduler,"Array,Greedy,Queue",51.70%,Medium,,O,
543,Diameter of Binary Tree,Tree,49.10%,Easy,,O,O
309,Best Time to Buy and Sell Stock with Cooldown,DP,48.10%,Medium,,O,
437,Path Sum III,Tree,48.10%,Medium,,O,
72,Edit Distance,"String,DP",46.70%,Hard,,O,
494,Target Sum,"DP,DFS",45.70%,Medium,,O,
438,Find All Anagrams in a String,Hash Table,44.90%,Medium,,O,
416,Partition Equal Subset Sum,DP,44.80%,Medium,,O,
560,Subarray Sum Equals K,"Array,Hash Table",43.80%,Medium,,O,
142,Linked List Cycle II,"Linked List,Two Pointers",39.60%,Medium,,O,
85,Maximal Rectangle,"Array,Hash Table,DP,Stack",39.40%,Hard,,O,
221,Maximal Square,DP,39.10%,Medium,,O,
45,Jump Game II,"Array,Greedy",31.40%,Hard,,O,
32,Longest Valid Parentheses,"String,DP",29.30%,Hard,,O,
344,Reverse String,"Two Pointers,String",70.30%,Easy,O,,O
237,Delete Node in a Linked List,Linked List,66.80%,Easy,O,,O
412,Fizz Buzz,[None],63.50%,Easy,O,,O
108,Convert Sorted Array to Binary Search Tree,"Tree,DFS",60.30%,Easy,O,,
242,Valid Anagram,"Hash Table,Sort",58.60%,Easy,O,,O
122,Best Time to Buy and Sell Stock II,"Array,Greedy",58.50%,Easy,O,,O
171,Excel Sheet Column Number,Math,56.90%,Easy,O,,O
217,Contains Duplicate,"Array,Hash Table",56.60%,Easy,O,,O
13,Roman to Integer,"Math,String",56.50%,Easy,O,,O
118,Pascal's Triangle,Array,54.70%,Easy,O,,O
268,Missing Number,"Array,Math,Bit Manipulation",53.80%,Easy,O,,O
387,First Unique Character in a String,"Hash Table,String",53.80%,Easy,O,,O
191,Number of 1 Bits,Bit Manipulation,53.70%,Easy,O,,O
350,Intersection of Two Arrays II,"Hash Table,Two Pointers,Binary Search,Sort",51.90%,Easy,O,,O
202,Happy Number,"Hash Table,Math",51.20%,Easy,O,,O
26,Remove Duplicates from Sorted Array,"Array,Two Pointers",46.50%,Easy,O,,O
66,Plus One,Array,42.30%,Easy,O,,O
326,Power of Three,Math,42.10%,Easy,O,,
190,Reverse Bits,Bit Manipulation,42.00%,Easy,O,,
88,Merge Sorted Array,"Array,Two Pointers",40.70%,Easy,O,,
172,Factorial Trailing Zeroes,Math,38.50%,Easy,O,,
125,Valid Palindrome,"Two Pointers,String",38.20%,Easy,O,,
14,Longest Common Prefix,String,36.10%,Easy,O,,O
28,Implement strStr(),"Two Pointers,String",35.20%,Easy,O,,
69,Sqrt(x),"Math,Binary Search",35.00%,Easy,O,,
204,Count Primes ,"Hash Table,Math",32.20%,Easy,O,,O
163,Missing Ranges,[Locked],26.80%,Easy,O,,
7,Reverse Integer,Math,25.90%,Easy,O,,
289,Game of Life,Array,58.20%,Medium,O,,
328,Odd Even Linked List,Linked List,57.00%,Medium,O,,
378,Kth Smallest Element in a Sorted Matrix,"Binary Search,Heap",56.10%,Medium,O,,
348,Design Tic-Tac-Toe,[Locked],55.50%,Medium,O,,
454,4Sum II,"Hash Table,Binary Search",54.60%,Medium,O,,
341,Flatten Nested List Iterator,"Stack,Design",54.50%,Medium,O,,
384,Shuffle an Array,Array,54.00%,Medium,O,,
131,Palindrome Partitioning,"DP,Backtracking,DFS",51.90%,Medium,O,,
